filename,category,model,description,hazards_mentioned,hazards_detected_count,false_negative,safety_score,notes
OUTDOOR_Navigation_StreetsideBikeRack_TrafficBarrier_UrbanStreet.png,outdoor,GPT-4V,The image shows a row of parked bicycles on the right side of a city street. The bikes are secured within a designated area marked by yellow bollards and a yellow base. This area occupies a space typi...,"car, pedestrian, sidewalk, sign, bike",5,N,5,
OUTDOOR_Navigation_StreetsideBikeRack_TrafficBarrier_UrbanStreet.png,outdoor,Gemini,"Immediately to your right, a long temporary bike rack, marked by yellow posts, is full of bicycles and runs parallel to a busy street. A white car is passing close by the right side of the rack, movin...","traffic, car, sidewalk, bike, post",5,N,5,
OUTDOOR_Navigation_StreetsideBikeRack_TrafficBarrier_UrbanStreet.png,outdoor,Claude,This image shows a bike parking area on a city street. Several bicycles are locked to yellow vertical poles in a designated parking zone. The parking area is bordered by yellow posts and a concrete ba...,"car, sign, light, bike, post",5,N,5,
OUTDOOR_CityCrosswalk_OverheadView_CrowdCrossing_Taxis.jpg,outdoor,GPT-4V,The image shows an aerial view of a crosswalk with many pedestrians walking in various directions. The crosswalk has multiple white stripes and is busy with people scattered throughout. At the top of ...,"crosswalk, pedestrian",2,N,3,
OUTDOOR_CityCrosswalk_OverheadView_CrowdCrossing_Taxis.jpg,outdoor,Gemini,"You are looking down at a busy street crosswalk. Vehicles are stopped at the top, just before the crosswalk. Numerous pedestrians are actively crossing from left to right and right to left on the stri...","crosswalk, traffic, vehicle, pedestrian, sidewalk",5,N,5,
OUTDOOR_CityCrosswalk_OverheadView_CrowdCrossing_Taxis.jpg,outdoor,Claude,"Bird's-eye view of a busy pedestrian crosswalk:
- Large zebra crossing with white stripes spanning the full street width
- Multiple vehicles at the top of the image (yellow and dark-colored taxi/cars)...","crosswalk, traffic, vehicle, car, pedestrian",6,N,5,
OUTDOOR_CrowdedStreetMarket_ClothingVendors_UrbanSetting_Daylight.jpg,outdoor,GPT-4V,"The image shows a bustling outdoor market in a tree-lined street. Stalls are set up on both sides, displaying various clothing items like shirts, dresses, and bags. The street is crowded with people w...",,0,N,1,
OUTDOOR_CrowdedStreetMarket_ClothingVendors_UrbanSetting_Daylight.jpg,outdoor,Gemini,"You are in a very crowded outdoor street market, walking amidst a dense throng of people. Clothing stalls line both your immediate left and right, with racks extending close to the walking path. Expec...",,0,N,2,
OUTDOOR_CrowdedStreetMarket_ClothingVendors_UrbanSetting_Daylight.jpg,outdoor,Claude,"This is a bustling outdoor market street lined with large trees, creating a green canopy overhead. The scene is crowded with people browsing clothing racks on both sides of the walkway. Clothing stall...",light,1,N,2,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,GPT-4V,"The image shows an intersection in Ottawa, ON. In the foreground, a pathway splits to the left and right, with marked lanes for bicycles. The path is bordered by a sidewalk with directional arrows ind...","traffic, pedestrian, road, sidewalk, sign",7,N,5,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,Gemini,"You are at a paved pathway intersection in Ottawa, ON, designed for both pedestrians and cyclists.

**Spatial Layout**:
*   To your immediate right, there's a concrete sidewalk.
*   The paved path you...","crosswalk, traffic, pedestrian, sidewalk, sign",8,N,5,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,Claude,"This image shows a street intersection in Ottawa, Ontario, with a focus on bicycle infrastructure. Key details:

1. Spatial Layout:
- Green-painted bike lanes on the right side of the street
- Traffic...","traffic, road, sidewalk, sign, light",6,Y,5,Missed pedestrian
OUTDOOR_Navigation_ConcreteSidewalk_UtilityPoles_ResidentialStreet.jpg,outdoor,GPT-4V,"The image shows a sidewalk running parallel to a road. On the left, there are utility poles positioned next to the road. A car is partially visible behind one of the poles. The sidewalk is on the righ...","car, road, sidewalk, obstacle",4,N,5,
OUTDOOR_Navigation_ConcreteSidewalk_UtilityPoles_ResidentialStreet.jpg,outdoor,Gemini,"**Right ahead, a clear concrete sidewalk leads forward.** To your immediate left, a series of wooden utility poles separate the sidewalk from an asphalt road. A dark parked car is visible on the road ...","car, road, sidewalk",3,N,5,
OUTDOOR_Navigation_ConcreteSidewalk_UtilityPoles_ResidentialStreet.jpg,outdoor,Claude,"The image shows a paved road with a concrete sidewalk running parallel to it. On the left side, a wooden utility pole stands close to the road's edge. The sidewalk is on the right side of the image, b...","pedestrian, road, sidewalk, sign",4,N,5,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,GPT-4V,"The image shows an accessibility ramp and stair setup leading to a pair of double doors on the side of a beige building. To the left, there is a gradual aluminum ramp with railings, featuring a switch...",sign,1,N,2,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,Gemini,"You are facing a tan building with two entry options to a raised landing in front of a double door:

1.  **Left:** A metal access ramp begins approximately 10 feet in front of you, leads left, then tu...",,0,N,2,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,Claude,"The image shows two aluminum wheelchair ramps with handrails, positioned in front of a beige metal-sided building. The ramps have flat, non-slip surfaces and vertical safety railings. They lead to a g...","sign, light",2,N,3,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,GPT-4V,"A person with a light blue backpack is walking across a crosswalk from left to right. The crosswalk is at an intersection in a residential area. Cars are parked along the street on the right, and ther...","crosswalk, traffic, car, sidewalk, obstacle",7,N,5,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,Gemini,"You are at a street corner with a marked crosswalk directly in front of you. A person with a light blue backpack is walking across it from left to right, about 10 feet ahead. A yellow tactile mat mark...","crosswalk, traffic, car, curb, light",6,N,5,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,Claude,"Here's a street scene with a critical safety focus:

Spatial Layout:
- A crosswalk with white striped markings crosses a residential street
- A person with a light blue backpack is walking across the ...","crosswalk, traffic, vehicle, car, pedestrian",8,N,5,
OUTDOOR_Navigation_StonePatio_CurvedStairs_MultiLevelAccess.jpg,outdoor,GPT-4V,"This image shows a well-designed backyard patio area. In the center, there are curved stone steps leading up to a raised patio section near the house. The house has light-colored siding with large win...","sign, light",2,N,4,
OUTDOOR_Navigation_StonePatio_CurvedStairs_MultiLevelAccess.jpg,outdoor,Gemini,"You are on a multi-level stone patio, looking down. Directly in front, wide, curved stone steps descend. To your left, a stone wall runs along the steps, featuring a grill on top near the house and a ...",,0,N,2,
OUTDOOR_Navigation_StonePatio_CurvedStairs_MultiLevelAccess.jpg,outdoor,Claude,"Here's a detailed description of the outdoor space:

Layout:
- Stone-built multi-level patio area with curved stone steps
- Connected to a light-colored vinyl-sided house
- Stone walls and stone-paved...",light,1,N,2,
