filename,category,model,prompt_type,completeness,clarity,conciseness,actionability,safety_focus,overall_score,notes
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,GPT-4V-CoT,CoT,5,4,1,5,4,4.0,
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,GPT-4V-CoT,CoT,3,4,2,5,4,3.8,
OUTDOOR_Navigation_ResidentialEntrance_StairsAndRailing_HouseNumber.png,outdoor,GPT-4V-CoT,CoT,5,5,1,5,5,4.4,
OUTDOOR_Navigation_StreetsideBikeRack_TrafficBarrier_UrbanStreet.png,outdoor,GPT-4V-CoT,CoT,2,4,2,5,5,3.8,
OUTDOOR_CityCrosswalk_OverheadView_CrowdCrossing_Taxis.jpg,outdoor,GPT-4V-CoT,CoT,2,4,2,4,5,3.5,
OUTDOOR_CrowdedStreetMarket_ClothingVendors_UrbanSetting_Daylight.jpg,outdoor,GPT-4V-CoT,CoT,4,4,2,5,3,3.8,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,GPT-4V-CoT,CoT,3,4,2,4,5,3.7,
OUTDOOR_Navigation_ConcreteSidewalk_UtilityPoles_ResidentialStreet.jpg,outdoor,GPT-4V-CoT,CoT,4,4,1,5,4,3.8,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,GPT-4V-CoT,CoT,5,4,2,5,5,4.3,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,GPT-4V-CoT,CoT,3,4,2,4,5,3.7,
OUTDOOR_Navigation_StonePatio_CurvedStairs_MultiLevelAccess.jpg,outdoor,GPT-4V-CoT,CoT,5,4,1,5,5,4.2,
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,GPT-4V-CoT,CoT,5,4,2,5,4,4.2,
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,GPT-4V-CoT,CoT,5,5,2,5,4,4.3,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,GPT-4V-CoT,CoT,5,5,1,5,4,4.2,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,GPT-4V-CoT,CoT,5,4,2,5,4,4.2,
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,GPT-4V-CoT,CoT,5,4,2,4,4,3.9,
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,GPT-4V-CoT,CoT,5,4,3,5,3,4.1,
TEXT_RetailShelf_CandyBarProducts_PricingLabels_DenseDisplay.jpg,text,GPT-4V-CoT,CoT,5,4,2,5,4,4.2,
TEXT_TimesSquare_DigitalBillboards_Night_AdvertisingDensity.jpg,text,GPT-4V-CoT,CoT,5,5,1,5,4,4.2,
TEXT_WeatheredWarningSign_NoParking_Roadside_FadingPrint.jpg,text,GPT-4V-CoT,CoT,5,4,3,5,4,4.3,
TEXT_WoodenCrate_StencilText_BAKERAndCo_VintageCocoa.jpg,text,GPT-4V-CoT,CoT,5,4,2,5,3,4.0,
